sample,expID,CollectionID,SideID,site_name,type,lat,long,trench,province,rock_type,new_water_type,alt,temp,ph,spc,sal,do,orp,alk,fe2,si,dic,dic_d13,d18o,d2h,co2,s,he,h2,o2,ar,n2,ch4,co,ch4_d13,co2_d13,ng_phase,he4,r_ra,rc_ra,X,he4_ne20,co2_3he,co2_4he,na,nh4,k,mg,ca,cl,no2,br,no3,po4,so4,h2s,V,Mn,Fe,Co,Ni,Cu,Mo,W,Zn
CR18_MC_S,CR18,MC180404,MC,Montecarlo - Bernardino,S,9.34391,-83.59565,NA,Forearc,NA,Mature,812,31.8,9.6,2176,2.33,23,NA,NA,NA,NA,0.04,-14.31,NA,NA,0,NA,0.22,0.16,16.02,15.53,967.44,0.63,0,0,NA,w,NA,NA,2.36,NA,NA,NA,NA,13.81,NA,0.09,0.06,3.54,20.06,NA,0.02,NA,NA,4.94,NA,,,,,,,,,
CR18_PS_S,CR18,PS180405,PS,Playa Sandalo,S,8.57554,-83.36416,NA,Outer Forearc,NA,NA,2,33,8.2,49159,69.2,122,NA,NA,NA,NA,3.18,-9.32,NA,NA,81.61,NA,0,0.02,2.77,1.07,50.33,864.2,0,0,NA,g,0.17,1.55,3.26,1.32,0.42,223424734036.17,NA,345.81,NA,7.06,34.79,7.12,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR18_PX_S,CR18,PX180416,PX,Praxair well 24,S,10.488755,-84.113598,NA,Backarc,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943.73,NA,0,0,11.85,0.35,44.06,0,0,NA,NA,g,1.15,6.52,7.81,5.26,1.68,90260341366.3,NA,2.19,0.12,0.18,2.89,11.15,16.78,NA,0.02,NA,NA,0.57,NA,,,,,,,,,
CR18_RC_F,CR18,RC180404,RC,Ujarassa,F,9.30283,-83.29782,NA,Forearc,NA,Peripheral,943,60,7.7,2600,2.83,45,NA,NA,NA,NA,1.07,-5.37,NA,NA,777.63,NA,0.04,0,0.13,2.99,214.85,4.37,0,-13.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,0.25,0.2,0.21,1.81,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR18_RC_S,CR18,RC180404,RC,Ujarassa,S,9.30283,-83.29782,NA,Forearc,NA,Peripheral,943,60,7.7,2600,2.83,45,NA,NA,NA,NA,1.07,-5.37,NA,NA,777.63,NA,0.04,0,0.13,2.99,214.85,4.37,0,-13.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,0.25,0.2,0.21,1.81,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR18_RR_F,CR18,RR180407,RR,Rockslide,F,8.63591,-82.22369,NA,Forearc,NA,Peripheral,792,41.3,NA,2332,2.51,73,NA,NA,NA,NA,0.32,-18.14,NA,NA,0,NA,0.02,0.03,221.42,9.86,768.65,0.03,0,NA,NA,w,NA,NA,NA,NA,NA,NA,NA,8.96,0.14,0.11,0.09,5.84,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR18_SC_F,CR18,RR180407,RR,Rockslide,F,8.63591,-82.22369,NA,Forearc,NA,Peripheral,792,41.3,NA,2332,2.51,73,NA,NA,NA,NA,0.32,-18.14,NA,NA,0,NA,0.02,0.03,221.42,9.86,768.65,0.03,0,NA,NA,w,NA,NA,NA,NA,NA,NA,NA,8.96,0.14,0.11,0.09,5.84,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR18_SC_S,CR18,SC180411,SC,El Salao Campollano,S,8.15755,-81.13097,NA,Arc,NA,Peripheral,136,29.9,6.5,40605,56.21,30,NA,NA,NA,NA,58.45,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g,0.01,6.22,7.59,4.8,1.53,NA,NA,255.19,NA,6.82,4.43,10.98,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR18_XF_F,CR18,XF180416,XF,Praxair well 19,F,10.485523,-84.113229,NA,Backarc,NA,Peripheral,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.54,NA,g,3.79,7.59,7.81,202.98,64.67,NA,NA,15.53,0.2,0.67,3.59,4.67,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR18_XF_S,CR18,XF180416,XF,Praxair well 19,S,10.485523,-84.113229,NA,Backarc,NA,Peripheral,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.54,NA,g,3.79,7.59,7.81,202.98,64.67,NA,NA,15.53,0.2,0.67,3.59,4.67,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
